Time,Time_ubisense,txeui,seq,X,Y,Z
1510928786.726,1510928787.4254634380,1,183615,1.464,-1.004,0.500,
1510928786.736,1510928787.4504649639,1,183616,1.469,-1.000,0.500,
1510928786.766,1510928787.4754662514,1,183617,1.470,-0.995,0.500,
1510928786.786,1510928787.5004680157,1,183618,1.473,-0.990,0.500,
1510928786.816,1510928787.5254690647,1,183619,1.463,-0.983,0.500,
1510928786.836,1510928787.5504708290,1,183620,1.467,-0.990,0.500,
1510928786.866,1510928787.5744719505,1,183621,1.460,-0.991,0.500,
1510928786.885,1510928787.6004736423,1,183622,1.444,-0.977,0.500,
1510928786.916,1510928787.6254749298,1,183623,1.439,-0.977,0.500,
1510928786.936,1510928787.6494762897,1,183624,1.430,-0.984,0.500,
1510928786.966,1510928787.6764779091,1,183625,1.417,-0.974,0.500,
1510928786.986,1510928787.6994791031,1,183626,1.402,-0.963,0.500,
1510928787.016,1510928787.7254807949,1,183627,1.391,-0.961,0.500,
1510928787.036,1510928787.7484819889,1,183628,1.390,-0.961,0.500,
1510928787.065,1510928787.7754836082,1,183629,1.385,-0.964,0.500,
1510928787.086,1510928787.8004848957,1,183630,1.362,-0.952,0.500,
1510928787.116,1510928787.8254864216,1,183631,1.329,-0.936,0.500,
1510928787.136,1510928787.8504879475,1,183632,1.313,-0.949,0.500,
1510928787.166,1510928787.8754892349,1,183633,1.298,-0.944,0.500,
1510928787.186,1510928787.9004907608,1,183634,1.293,-0.949,0.500,
1510928787.216,1510928787.9254920483,1,183635,1.283,-0.949,0.500,
1510928787.236,1510928787.9494936466,1,183636,1.266,-0.961,0.500,
1510928787.266,1510928787.9754948616,1,183637,1.254,-0.968,0.500,
1510928787.286,1510928787.9994962215,1,183638,1.238,-0.986,0.500,
1510928787.326,1510928788.0254979134,1,183639,1.228,-0.990,0.500,
1510928787.336,1510928788.0494990349,1,183640,1.219,-0.995,0.500,
1510928787.376,1510928788.0765006542,1,183641,1.203,-0.991,0.500,
1510928787.385,1510928788.0995018482,1,183642,1.183,-0.981,0.500,
1510928787.416,1510928788.1265034676,1,183643,1.160,-0.990,0.500,
1510928787.436,1510928788.1505050659,1,183644,1.133,-0.974,0.500,
1510928787.466,1510928788.1755063534,1,183645,1.111,-0.987,0.500,
1510928787.486,1510928788.2005078793,1,183646,1.090,-0.968,0.500,
1510928787.516,1510928788.2265093327,1,183647,1.074,-0.977,0.500,
1510928787.536,1510928788.2475104332,1,183648,1.110,-0.979,0.500,
1510928787.565,1510928788.2755122185,1,183649,1.075,-0.998,0.500,
1510928787.586,1510928788.2995135784,1,183650,1.049,-0.978,0.500,
1510928787.616,1510928788.3265151978,1,183651,1.021,-0.962,0.500,
1510928787.636,1510928788.3495163918,1,183652,1.004,-0.957,0.500,
1510928787.656,1510928788.3665173054,1,183653,0.975,-1.057,0.500,
1510928787.686,1510928788.3995192051,1,183654,0.951,-1.030,0.500,
1510928787.716,1510928788.4255206585,1,183655,0.941,-1.018,0.500,
1510928787.745,1510928788.4495220184,1,183656,0.931,-1.011,0.500,
1510928787.766,1510928788.4765236378,1,183657,0.907,-0.993,0.500,
1510928787.786,1510928788.4995248318,1,183658,0.915,-0.978,0.493,
1510928787.816,1510928788.5255262852,1,183659,0.897,-0.987,0.500,
1510928787.836,1510928788.5485277176,1,183660,0.880,-0.987,0.500,
1510928787.866,1510928788.5755293369,1,183661,0.859,-0.996,0.500,
1510928787.886,1510928788.6015307903,1,183662,0.833,-0.998,0.500,
