Time,Time_ubisense,txeui,seq,X,Y,Z
1510937284.098,1510937284.9453878403,1,209353,1.765,-1.495,0.500,
1510937284.128,1510937284.9763896465,1,209354,1.772,-1.478,0.500,
1510937284.150,1510937284.9953906536,1,209355,1.785,-1.475,0.500,
1510937284.171,1510937285.0193922520,1,209356,1.784,-1.466,0.500,
1510937284.190,1510937285.0443935394,1,209357,1.787,-1.464,0.500,
1510937284.220,1510937285.0693950653,1,209358,1.792,-1.455,0.500,
1510937284.250,1510937285.0943965912,1,209359,1.791,-1.450,0.500,
1510937284.270,1510937285.1203980446,1,209360,1.798,-1.438,0.500,
1510937284.300,1510937285.1443994045,1,209361,1.799,-1.427,0.500,
1510937284.320,1510937285.1704006195,1,209362,1.808,-1.420,0.500,
1510937284.340,1510937285.1944022179,1,209363,1.805,-1.406,0.500,
1510937284.370,1510937285.2194035053,1,209364,1.802,-1.394,0.499,
1510937284.400,1510937285.2454051971,1,209365,1.792,-1.376,0.499,
1510937284.421,1510937285.2694065571,1,209366,1.790,-1.362,0.499,
1510937284.461,1510937285.2954080105,1,209367,1.798,-1.343,0.500,
1510937284.471,1510937285.3184094429,1,209368,1.799,-1.331,0.500,
1510937284.511,1510937285.3464109898,1,209369,1.790,-1.322,0.500,
1510937284.522,1510937285.3674120903,1,209370,1.756,-1.304,0.500,
1510937284.552,1510937285.3964138031,1,209371,1.714,-1.276,0.500,
1510937284.571,1510937285.4184150696,1,209372,1.694,-1.271,0.500,
1510937284.592,1510937285.4444165230,1,209373,1.676,-1.262,0.500,
1510937284.621,1510937285.4694180489,1,209374,1.668,-1.241,0.500,
1510937284.641,1510937285.4944195747,1,209375,1.651,-1.238,0.500,
1510937284.671,1510937285.5194206238,1,209376,1.633,-1.224,0.500,
1510937284.691,1510937285.5444223881,1,209377,1.613,-1.223,0.500,
1510937284.721,1510937285.5694234371,1,209378,1.586,-1.222,0.500,
1510937284.741,1510937285.5944252014,1,209379,1.587,-1.214,0.500,
1510937284.771,1510937285.6194264889,1,209380,1.576,-1.199,0.500,
1510937284.791,1510937285.6454279423,1,209381,1.559,-1.185,0.500,
1510937284.821,1510937285.6704294682,1,209382,1.536,-1.172,0.500,
